subject,predicate,object
sits:item_music,dcterms:title,"The Sword in the Stone"
sits:item_music,rdf:type,aat:300263865
sits:item_music,mo:ReleaseType,aat:300440467
sits:item_music,mo:media_type,wd:Q178588
sits:item_music,mo:publishingLocation,gn:6252001
sits:item_music,dcterms:issued,"1963"
sits:item_music,dcterms:language,lcsh:sh85043413
sits:item_music,mo:producer,wd:Q3710134
sits:item_music,mo:genre,lcsh:sh85095326
sits:item_music,crm:P15_was_influenced_by,wd:Q1771297
sits:item_music,schema:catalogNumber,"ST 4901"
sits:item_music,mo:composer,viaf:64197728
sits:item_music,mo:composer,viaf:88077600
sits:item_music,mo:producer,wd:Q122950077
